RDB$INDEX_NAME	RDB$FIELD_NAME	RDB$RELATION_NAME	
PKY_ZTMPINVE30_PRODUCTOS       	ID_ZTMPINVE30                  	ZTMPINVE30_PRODUCTOS           	
PKY_PYMVENT38                  	ID_PYMVENT38                   	PYMVENT38_DET_DOCUMENTOS       	
PKY_SECPLAN12                  	ID_SECPLAN12                   	SECPLAN12_MOV_UPLOADS          	
PKY_SECPLAN11                  	ID_SECPLAN11                   	SECPLAN11_DET_DOCUMENTOS       	
PKY_SECPLAN10                  	ID_SECPLAN10                   	SECPLAN10_MOV_UPLOADS          	
PKY_SECPLAN09                  	ID_SECPLAN09                   	SECPLAN09_DET_DOCUMENTOS       	
PKY_SECPLAN05                  	ID_SECPLAN05                   	SECPLAN05_DET_REFERENCIAS      	
PKY_SOCSYST50                  	ID_SOCSYST50                   	SOCSYST50_MOV_BOLETINES        	
PKY_SECPLAN04                  	ID_SECPLAN04                   	SECPLAN04_DET_PAGOS            	
PKY_SECPLAN03                  	ID_SECPLAN03                   	SECPLAN03_DET_EQUIPOS          	
PKY_PYMLOGI03                  	ID_PYMLOGI03                   	PYMLOGI03_MOV_EVENTOS          	
PKY_PYMLOGI02                  	ID_PYMLOGI02                   	PYMLOGI02_DET_REFERENCIAS      	
PKY_PYMINVE42                  	ID_PYMINVE42                   	PYMINVE42_MOV_CARGARAPIDA      	
PKY_PYMINVE41                  	ID_PYMINVE41                   	PYMINVE41_CAB_CARGARAPIDA      	
PKY_SECPLAN02                  	ID_SECPLAN02                   	SECPLAN02_DET_PLANES           	
PKY_SHOCUAR02_SHOCUAR02        	ID_SHOCUAR02                   	SHOCUAR02_DET_INVENTARIO       	
PKY_SHOCUAR01_SHOCUAR01        	ID_SHOCUAR01                   	SHOCUAR01_CAB_CUARTOS          	
PKY_MEDPACI02_MEDPACI02        	ID_MEDPACI02                   	MEDPACI02_DET_PADECIMIENTOS    	
PKY_MEDPACI01_MEDPACI01        	ID_MEDPACI01                   	MEDPACI01_CAB_PACIENTES        	
PKY_MEDINTE05_MEDINTE05        	ID_MEDINTE05                   	MEDINTE05_MOV_PADECIMIENTOS    	
PKY_MEDINTE02                  	ID_MEDINTE02                   	MEDINTE02_DET_DOCTORES         	
PKY_SGPINTE01_SGPINTE01        	ID_SGPINTE01                   	SGPINTE01_DET_INTERFACEPYME    	
PKY_PYMLOGI01                  	ID_PYMLOGI01                   	PYMLOGI01_CAB_REFERENCIAS      	
PKY_SGPINGR09                  	ID_SGPINGR09                   	SGPINGR09_DET_PROVEEDORES      	
PKY_SGPINGR08                  	ID_SGPINGR08                   	SGPINGR08_DET_COMPRAS          	
PKY_SGPINGR07                  	ID_SGPINGR07                   	SGPINGR07_DET_FACTURAS         	
PKY_SECPLAN01                  	ID_SECPLAN01                   	SECPLAN01_CAB_SOLICITUDES      	
PKY_SRHNOMI18                  	ID_SRHNOMI18                   	SRHNOMI18_DEP_FACTELECT        	
PK_ZTMPMAIN10_EMPLEADOS        	USUARIO                        	ZTMPMAIN10_EMPLEADOS           	
PK_ZTMPMAIN10_EMPLEADOS        	ID_SRHMAIN10                   	ZTMPMAIN10_EMPLEADOS           	
PKY_ON2CFDS20                  	ID_ON2CFDS20                   	ON2CFDS20_DET_CONTENIDO        	
PKY_SECPLAN22                  	ID_SECPLAN22                   	SECPLAN22_DET_RENDICION        	
PKY_SECPLAN21                  	ID_SECPLAN21                   	SECPLAN21_DET_PLANES           	
PKY_SECPLAN20                  	ID_SECPLAN20                   	SECPLAN20_CAB_CORTECAJA        	
PKY_SRHNOMI06                  	ID_SRHNOMI06                   	SRHNOMI06_DET_HORASEXTRAS      	
PKY_PYMVENT60                  	ID_PYMVENT60                   	PYMVENT60_CAB_NOVEDADES        	
PKY_PYMVENT47                  	ID_PYMVENT47                   	PYMVENT47_DET_COMPONENTES      	
PKY_ON2NIME25                  	ID_ON2NIME25                   	ON2NIME25_DET_FOLIOS           	
PKY_ON2NIME24                  	ID_ON2NIME24                   	ON2NIME24_DET_EMPRESAS         	
PKY_ON2NIME23                  	ID_ON2NIME23                   	ON2NIME23_DET_ESTADISTICAS     	
PKY_ON2NIME22_ON2NIME20        	ID_ON2NIME22                   	ON2NIME22_DET_ERRORES          	
PKY_ON2NIME21                  	ID_ON2NIME21                   	ON2NIME21_DET_INSTANCIAS       	
PKY_ON2NIME20                  	ID_ON2NIME20                   	ON2NIME20_CAB_INSTANCIAS       	
PKY_SGPINGR06                  	ID_SGPINGR06                   	SGPINGR06_DET_AVANCES          	
PKY_SGPINGR05                  	ID_SGPINGR05                   	SGPINGR05_DET_RECURSOS         	
PKY_PYMVENT62                  	ID_PYMVENT62                   	PYMVENT62_DET_RESTAURAR        	
