RDB$RELATION_NAME	FIELD_NAME	FIELD_TYPE	FIELD_CHARSET	FIELD_COLLATION	FIELD_DEFAULT	FIELD_CHECK	FIELD_DESCRIPTION	
CBO_PYMINVE50_ALL              	SOCSYST10_FILTRO_DES           	VARCHAR(50)	ASCII                          	ASCII                          	null	null	null	
GRID_PYMVENT25                 	PYMVENT24_CLIENTE              	VARCHAR(400)	ASCII                          	ASCII                          	null	null	null	
CBO_ESTADO                     	ID_SOCSYST10                   	BIGINT	null	null	null	null	null	
CBO_FILTRO_REFERENCIAS         	ID_SOCSYST10                   	BIGINT	null	null	null	null	null	
CBO_TIPOLISTADEPRECIOS         	ID_SOCSYST10                   	BIGINT	null	null	null	null	null	
ON2REGI05_DET_MARKETING        	ID_ON2REGI05                   	BIGINT	null	null	null	null	null	
ON2NIME10_CAB_FILERENOMBRA     	ID_ON2NIME10                   	BIGINT	null	null	null	null	null	
SOCSYST43_TBL_SERVMAILS        	ID_SOCSYST43                   	BIGINT	null	null	null	null	null	
ZTMPINVE10_PRODUCTOS           	ID_ZTMPINVE10                  	BIGINT	null	null	null	null	null	
ZTMPINVE46_SUMA                	ID_ZTMPINVE46                  	BIGINT	null	null	null	null	null	
CBO_EGREFISCAL                 	RELA_SOCSYST01                 	BIGINT	null	null	null	null	null	
GRID_SICCONT03                 	RELA_SOCSYST01                 	BIGINT	null	null	null	null	null	
GRID_SICCONT04                 	RELA_SICCONT03                 	BIGINT	null	null	null	null	null	
GRID_MSGPOLI34_PAGADOS_RET     	RELA_SOCSYST01                 	BIGINT	null	null	null	null	null	
GRID_MSGPOLI34_PORPAGAR_RET    	RELA_SOCSYST01                 	BIGINT	null	null	null	null	null	
MSGPOLI30_MOV_ACTIVOS          	RELA_MSGPOLI29                 	BIGINT	null	null	null	null	null	
MSGPOLI31_DET_ACTIVOS          	RELA_MSGPOLI30                 	BIGINT	null	null	null	null	null	
MSGPOLI32_DET_DATOS            	RELA_MSGPOLI31                 	BIGINT	null	null	null	null	null	
MSGPOLI25_DET_CONCEPTOS        	RELA_SOCSYST01                 	BIGINT	null	null	null	null	null	
ON2REGI04_CAP_MARKETING        	RELA_SOCUSUA02                 	BIGINT	null	null	null	null	null	
PYMVENT40_CAB_PRESUPUESTO      	RELA_PYMVENT20                 	BIGINT	null	null	null	null	null	
PYMVENT28_DEP_FACTELECT        	RELA_SOCSYST01                 	BIGINT	null	null	null	null	null	
PYMINGR40_CAB_FACTAUTO         	RELA_SOCSYST01                 	BIGINT	null	null	null	null	null	
PYMINGR41_DET_ACTAUTO          	RELA_PYMINGR40                 	BIGINT	null	null	null	null	null	
PYMINVE14_DET_PARTES           	RELA_PYMINVE10                 	BIGINT	null	null	null	null	null	
PYMINVE24_CAB_RECEPCION        	RELA_PYMINVE25                 	BIGINT	null	null	null	null	null	
PYMINGR15_MOV_GASTOS           	RELA_PYMINGR01                 	BIGINT	null	null	null	null	null	
PYMINGR45_CAB_FACTMASTERS      	RELA_SOCSYST01                 	BIGINT	null	null	null	null	null	
PYMINGR16_MOV_ANTICIPOS        	RELA_PYMINGR01                 	BIGINT	null	null	null	null	null	
